Altium Designer Pick and Place Locations
C:\Users\Syntax\Desktop\Oasis Sandbox\Access\CSW Internal\Personal\Tim\yuzuworks\sysdev3\Project Outputs for sysdev3\Pick Place for sysdev3.csv

========================================================================================================================
File Design Information:

Date:       09-04-23
Time:       23:48
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"T13","TP254-2","TopLayer","H254-011-85","78.7400","-3.8100","180",""
"T12","TP254-2","TopLayer","H254-011-85","83.8200","-24.1300","90",""
"T11","TP254-2","TopLayer","H254-011-85","81.2800","-3.8100","180",""
"T10","TP254-2","TopLayer","H254-011-85","73.6600","-8.8900","180",""
"T9","TP254-2","TopLayer","H254-011-85","81.2800","-11.4300","180",""
"T8","TP254-2","TopLayer","H254-011-85","76.2000","-8.8900","180",""
"T7","TP254-2","TopLayer","H254-011-85","83.8200","-16.5100","180",""
"T6","TP254-2","TopLayer","H254-011-85","83.8200","-36.8300","0",""
"T5","TP254-2","TopLayer","H254-011-85","81.2800","-13.9700","0",""
"T4","TP254-2","TopLayer","H254-011-85","78.7400","-13.9700","0",""
"T3","TP254-2","TopLayer","H254-011-85","76.2000","-13.9700","0",""
"T2","TP254-2","TopLayer","H254-011-85","73.6600","-13.9700","0",""
"T1","TP254-2","TopLayer","H254-011-85","83.8200","-11.4300","270",""
"S3","S BTN1185","TopLayer","BTN1185","38.0000","-35.0000","45",""
"S2","S BTN1185","TopLayer","BTN1185","33.0000","-35.0000","45",""
"S1","S BTN1185","TopLayer","BTN1185","19.5000","35.0000","270",""
"R8","4.7k","TopLayer","C0402","49.7500","0.2500","0",""
"R7","4.7k","TopLayer","C0402","49.7500","-0.7500","0",""
"R6","1.5k","TopLayer","C0402","46.0000","-17.0000","315",""
"R5","10k","TopLayer","R0603x4","51.0000","-6.0000","90","Resistor array 0603 x4"
"R4","10k","TopLayer","R0603x4","51.0000","-10.0000","90","Resistor array 0603 x4"
"R3","1k","TopLayer","C0402","47.2500","21.7500","180",""
"R2","22k","TopLayer","C0402","21.0000","21.0000","180",""
"R1","100k","TopLayer","C0402","21.0000","22.5000","180",""
"P4","H127-052-S","TopLayer","H127-052-S","25.5000","34.0000","270",""
"P3","P Micro USB B","TopLayer","USB-Micro-B","3.4000","32.0000","180",""
"P2","H254-202-85","TopLayer","H254-202-85","4.7300","0.0000","270","PC/104 style stack connector for REALOP1"
"P1","H254-021-85","TopLayer","H254-021-85","22.8600","8.6600","270",""
"L1","2.2u","TopLayer","C1008","16.5000","25.5000","0","1008 [2520 metric] SMD inductor"
"D8","LED White","TopLayer","LED0603v2","64.0001","2.9999","270","LED 0603"
"D7","LED White","TopLayer","LED0603v2","65.5001","2.9999","270","LED 0603"
"D6","LED White","TopLayer","LED0603v2","67.0001","2.9999","270","LED 0603"
"D5","LED White","TopLayer","LED0603v2","68.5001","2.9999","270","LED 0603"
"D4","LED White","TopLayer","LED0603v2","70.0001","2.9999","270","LED 0603"
"D3","LED White","TopLayer","LED0603v2","71.5001","2.9999","270","LED 0603"
"D2","LED White","TopLayer","LED0603v2","73.0001","2.9999","270","LED 0603"
"D1","LED White","TopLayer","LED0603v2","74.5001","2.9999","270","LED 0603"
"C41","1u","TopLayer","C0402","44.5000","-18.5000","135",""
"C40","1u","TopLayer","C0402","40.2000","-22.2000","45",""
"C39","1u","TopLayer","C0402","36.8244","-26.2047","135",""
"C38","1u","TopLayer","C0402","28.5000","-30.3000","45",""
"C37","1u","TopLayer","C0402","20.2500","-22.5000","315",""
"C36","1u","TopLayer","C0402","15.0000","-18.0000","315",""
"C35","1u","TopLayer","C0402","45.2500","-17.7500","135",""
"C34","1u","TopLayer","C0402","41.0000","-8.2500","225",""
"C33","1u","TopLayer","C0402","37.7000","-4.5000","225",""
"C32","1u","TopLayer","C0402","32.5000","0.0000","135",""
"C31","1u","TopLayer","C0402","23.5000","-25.7500","315",""
"C30","1u","TopLayer","C0402","15.5000","-10.7500","315",""
"C29","1u","TopLayer","C0402","22.2000","-5.2000","225",""
"C15","1u","TopLayer","C0402","43.2500","-0.2500","180",""
"C14","1u","TopLayer","C0402","46.0000","2.0000","270",""
"C13","1u","TopLayer","C0402","16.2500","-10.0000","135",""
"C12","1u","TopLayer","C0402","54.0000","-0.7500","180",""
"C11","9p","TopLayer","C0402","14.0000","-6.7500","135",""
"C10","9p","TopLayer","C0402","17.0000","-3.7500","315",""
"C9","2.2n","TopLayer","C0402","50.0000","25.0000","270",""
"C8","12.5p","TopLayer","C0402","20.2322","0.8536","45",""
"C7","12.5p","TopLayer","C0402","22.0000","2.6213","225",""
"C6","1u","TopLayer","C0402","26.2500","-0.5000","180",""
"C5","22u","TopLayer","C0805","11.0000","25.5000","90",""
"C4","22u","TopLayer","C0805","13.0000","25.5000","90",""
"C3","22u","TopLayer","C0805","15.0000","22.0000","90",""
"C2","22u","TopLayer","C0805","13.0000","22.0000","90",""
"C1","22u","TopLayer","C0805","11.0000","22.0000","90",""
